DblPrecio|DtmFechaExtraccion|DtmFechaHoraLlegadaIda|DtmFechaHoraLlegadaVuelta|DtmFechaHoraSalidaIda|DtmFechaHoraSalidaVuelta|DtmFechaLlegadaIda|DtmFechaLlegadaVuelta|DtmFechaSalidaIda|DtmFechaSalidaVuelta|IntAdultos|IntIdDestino|IntIdFranjaHorariaIda|IntIdFranjaHorariaVuelta|IntIdFuente|IntIdOrigen|IntIdTipoTransporte|IntNinos|StrDestino|StrDuracionIda|StrDuracionTotal|StrDuracionVuelta|StrEmpresa|StrFranjaHorariaIda|StrFranjaHorariaVuelta|StrFuente|StrHoraLlegadaIda|StrHoraLlegadaVuelta|StrHoraSalidaIda|StrHoraSalidaVuelta|StrOrigen|StrTipoTransporte|_id
139.0|2018-11-26T23:00:00.000Z|2018-12-21T14:40:01.000Z|2018-12-23T23:40:01.000Z|2018-12-21T09:00:00.000Z|2018-12-23T18:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-23T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|2|3|4|22|5|0|Madrid|5h 40m|11h 20m|5h 40m|Blablacar|de 08:00 a 14:59|de 15:00 a 19:59|Blablacar|15:40|00:40|10:00|19:00|Jerez|Blablacar|5bfcabaef44f319b3f000e19
121.0|2018-11-26T23:00:00.000Z|2018-12-21T20:10:01.000Z|2018-12-23T23:40:01.000Z|2018-12-21T14:30:00.000Z|2018-12-23T18:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-23T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|3|3|4|22|5|0|Madrid|5h 40m|11h 20m|5h 40m|Blablacar|de 15:00 a 19:59|de 15:00 a 19:59|Blablacar|21:10|00:40|15:30|19:00|Jerez|Blablacar|5bfcabaef44f319b3f000e1a
85.422|2018-11-26T23:00:00.000Z|2018-12-21T10:40:01.000Z|2018-12-24T01:40:01.000Z|2018-12-21T05:00:00.000Z|2018-12-23T20:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-23T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|1|4|8|22|3|0|Madrid|5h 40m|11h 20m|5h 40m|Coche propio|de 00:00 a 7:59|de 20:00 a 23:59|Coche Propio|11:40|02:40|06:00|21:00|Jerez|Coche Propio|5bfc8108f44f319b3fffb5a1
85.422|2018-11-26T23:00:00.000Z|2018-12-21T16:40:01.000Z|2018-12-24T01:40:01.000Z|2018-12-21T11:00:00.000Z|2018-12-23T20:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-23T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|2|4|8|22|3|0|Madrid|5h 40m|11h 20m|5h 40m|Coche propio|de 08:00 a 14:59|de 20:00 a 23:59|Coche Propio|17:40|02:40|12:00|21:00|Jerez|Coche Propio|5bfc8108f44f319b3fffb5a5
85.422|2018-11-26T23:00:00.000Z|2018-12-21T22:40:01.000Z|2018-12-24T01:40:01.000Z|2018-12-21T17:00:00.000Z|2018-12-23T20:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-23T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|3|4|8|22|3|0|Madrid|5h 40m|11h 20m|5h 40m|Coche propio|de 15:00 a 19:59|de 20:00 a 23:59|Coche Propio|23:40|02:40|18:00|21:00|Jerez|Coche Propio|5bfc8108f44f319b3fffb5a9
85.422|2018-11-26T23:00:00.000Z|2018-12-22T01:40:01.000Z|2018-12-24T01:40:01.000Z|2018-12-21T20:00:00.000Z|2018-12-23T20:00:00.000Z|2018-12-21T23:00:00.000Z|2018-12-23T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|4|4|8|22|3|0|Madrid|5h 40m|11h 20m|5h 40m|Coche propio|de 20:00 a 23:59|de 20:00 a 23:59|Coche Propio|02:40|02:40|21:00|21:00|Jerez|Coche Propio|5bfc8108f44f319b3fffb5ad
820.0|2018-11-26T23:00:00.000Z|2018-12-21T17:55:00.000Z|2018-12-23T13:10:00.000Z|2018-12-21T16:40:00.000Z|2018-12-23T06:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|3|1|1|22|1|0|Madrid|1h 15m|8h 25m|7h 10m|Iberia,Vueling Airlines|de 15:00 a 19:59|de 00:00 a 7:59|Skyscanner|18:55|14:10|17:40|07:00|Jerez|Avión|5bfd1c90f44f319b3f00d099
742.0|2018-11-26T23:00:00.000Z|2018-12-21T13:40:00.000Z|2018-12-23T13:10:00.000Z|2018-12-21T12:25:00.000Z|2018-12-23T06:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|2|1|1|22|1|0|Madrid|1h 15m|8h 25m|7h 10m|Iberia,Vueling Airlines|de 08:00 a 14:59|de 00:00 a 7:59|Skyscanner|14:40|14:10|13:25|07:00|Jerez|Avión|5bfd1c90f44f319b3f00d093
687.0|2018-11-26T23:00:00.000Z|2018-12-21T17:55:00.000Z|2018-12-23T16:00:00.000Z|2018-12-21T16:40:00.000Z|2018-12-23T14:45:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|3|3|1|22|1|0|Madrid|1h 15m|2h 30m|1h 15m|Iberia,Iberia|de 15:00 a 19:59|de 15:00 a 19:59|Skyscanner|18:55|17:00|17:40|15:45|Jerez|Avión|5bfd1c90f44f319b3f00d095
687.0|2018-11-26T23:00:00.000Z|2018-12-21T17:55:00.000Z|2018-12-23T11:45:00.000Z|2018-12-21T16:40:00.000Z|2018-12-23T10:30:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|3|2|1|22|1|0|Madrid|1h 15m|2h 30m|1h 15m|Iberia,Iberia|de 15:00 a 19:59|de 08:00 a 14:59|Skyscanner|18:55|12:45|17:40|11:30|Jerez|Avión|5bfd1c90f44f319b3f00d097
616.0|2018-11-26T23:00:00.000Z|2018-12-21T13:40:00.000Z|2018-12-23T16:00:00.000Z|2018-12-21T12:25:00.000Z|2018-12-23T14:45:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|2|3|1|22|1|0|Madrid|1h 15m|2h 30m|1h 15m|Iberia,Iberia|de 08:00 a 14:59|de 15:00 a 19:59|Skyscanner|14:40|17:00|13:25|15:45|Jerez|Avión|5bfd1c90f44f319b3f00d094
616.0|2018-11-26T23:00:00.000Z|2018-12-21T13:40:00.000Z|2018-12-23T11:45:00.000Z|2018-12-21T12:25:00.000Z|2018-12-23T10:30:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|2|2|1|22|1|0|Madrid|1h 15m|2h 30m|1h 15m|Iberia,Iberia|de 08:00 a 14:59|de 08:00 a 14:59|Skyscanner|14:40|12:45|13:25|11:30|Jerez|Avión|5bfd1c90f44f319b3f00d096
570.0|2018-11-26T23:00:00.000Z|2018-12-21T07:00:00.000Z|2018-12-23T13:10:00.000Z|2018-12-21T05:45:00.000Z|2018-12-23T06:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|1|1|1|22|1|0|Madrid|1h 15m|8h 25m|7h 10m|Iberia,Vueling Airlines|de 00:00 a 7:59|de 00:00 a 7:59|Skyscanner|08:00|14:10|06:45|07:00|Jerez|Avión|5bfd1c90f44f319b3f00d09a
491.0|2018-11-26T23:00:00.000Z|2018-12-21T07:00:00.000Z|2018-12-23T16:00:00.000Z|2018-12-21T05:45:00.000Z|2018-12-23T14:45:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2018-12-20T23:00:00.000Z|2018-12-22T23:00:00.000Z|2|1|1|3|1|22|1|0|Madrid|1h 15m|2h 30m|1h 15m|Iberia,Iberia|de 00:00 a 7:59|de 15:00 a 19:59|Skyscanner|08:00|17:00|06:45|15:45|Jerez|Avión|5bfd1c90f44f319b3f00d092
